date,year,month,day,cfs,Lps
11/16/98,1998,11,16,0.04,1.132672
11/17/98,1998,11,17,0.04,1.132672
11/18/98,1998,11,18,0.04,1.132672
11/19/98,1998,11,19,0.04,1.132672
11/20/98,1998,11,20,0.05,1.41584
11/21/98,1998,11,21,0.08,2.265344
11/22/98,1998,11,22,0.05,1.41584
11/23/98,1998,11,23,0.03,0.849504
11/24/98,1998,11,24,0.03,0.849504
11/25/98,1998,11,25,0.03,0.849504
11/26/98,1998,11,26,0.36,10.194048
11/27/98,1998,11,27,0.04,1.132672
11/28/98,1998,11,28,0.04,1.132672
11/29/98,1998,11,29,0.04,1.132672
11/30/98,1998,11,30,0.03,0.849504
12/1/98,1998,12,1,0.03,0.849504
12/2/98,1998,12,2,0.03,0.849504
12/3/98,1998,12,3,0.02,0.566336
12/4/98,1998,12,4,0.02,0.566336
12/5/98,1998,12,5,0.02,0.566336
12/6/98,1998,12,6,0.02,0.566336
12/7/98,1998,12,7,0.02,0.566336
12/8/98,1998,12,8,0.05,1.41584
12/9/98,1998,12,9,0.08,2.265344
12/10/98,1998,12,10,0.06,1.699008
12/11/98,1998,12,11,0.04,1.132672
12/12/98,1998,12,12,0.04,1.132672
12/13/98,1998,12,13,0.07,1.982176
12/14/98,1998,12,14,0.05,1.41584
12/15/98,1998,12,15,0.04,1.132672
12/16/98,1998,12,16,0.03,0.849504
12/17/98,1998,12,17,0.03,0.849504
12/18/98,1998,12,18,0.04,1.132672
12/19/98,1998,12,19,0.03,0.849504
12/20/98,1998,12,20,0.02,0.566336
12/21/98,1998,12,21,0.01,0.283168
12/22/98,1998,12,22,0.01,0.283168
12/23/98,1998,12,23,0.01,0.283168
12/24/98,1998,12,24,0.02,0.566336
12/25/98,1998,12,25,0.02,0.566336
12/26/98,1998,12,26,0.01,0.283168
12/27/98,1998,12,27,0.01,0.283168
12/28/98,1998,12,28,0.01,0.283168
12/29/98,1998,12,29,0.01,0.283168
12/30/98,1998,12,30,0.01,0.283168
12/31/98,1998,12,31,0.01,0.283168
1/1/99,1999,1,1,0.01,0.283168
1/2/99,1999,1,2,0.01,0.283168
1/3/99,1999,1,3,2.93,82.968224
1/4/99,1999,1,4,0.09,2.548512
1/5/99,1999,1,5,0.06,1.699008
1/6/99,1999,1,6,0.04,1.132672
1/7/99,1999,1,7,0.03,0.849504
1/8/99,1999,1,8,0.03,0.849504
1/9/99,1999,1,9,0.63,17.839584
1/10/99,1999,1,10,0.13,3.681184
1/11/99,1999,1,11,0.06,1.699008
1/12/99,1999,1,12,0.1,2.83168
1/13/99,1999,1,13,0.25,7.0792
1/14/99,1999,1,14,0.13,3.681184
1/15/99,1999,1,15,0.97,27.467296
1/16/99,1999,1,16,0.37,10.477216
1/17/99,1999,1,17,0.39,11.043552
1/18/99,1999,1,18,4.41,124.877088
1/19/99,1999,1,19,0.49,13.875232
1/20/99,1999,1,20,0.32,9.061376
1/21/99,1999,1,21,0.31,8.778208
1/22/99,1999,1,22,0.29,8.211872
1/23/99,1999,1,23,0.28,7.928704
1/24/99,1999,1,24,2.88,81.552384
1/25/99,1999,1,25,0.4,11.32672
1/26/99,1999,1,26,0.22,6.229696
1/27/99,1999,1,27,0.19,5.380192
1/28/99,1999,1,28,0.18,5.097024
1/29/99,1999,1,29,0.17,4.813856
1/30/99,1999,1,30,0.18,5.097024
1/31/99,1999,1,31,0.19,5.380192
2/1/99,1999,2,1,0.2,5.66336
2/2/99,1999,2,2,0.35,9.91088
2/3/99,1999,2,3,1.6,45.30688
2/4/99,1999,2,4,0.5,14.1584
2/5/99,1999,2,5,0.22,6.229696
2/6/99,1999,2,6,0.2,5.66336
2/7/99,1999,2,7,0.38,10.760384
2/8/99,1999,2,8,0.36,10.194048
2/9/99,1999,2,9,0.32,9.061376
2/10/99,1999,2,10,0.22,6.229696
2/11/99,1999,2,11,0.19,5.380192
2/12/99,1999,2,12,0.4,11.32672
2/13/99,1999,2,13,0.29,8.211872
2/14/99,1999,2,14,0.25,7.0792
2/15/99,1999,2,15,0.19,5.380192
2/16/99,1999,2,16,0.22,6.229696
2/17/99,1999,2,17,0.52,14.724736
2/18/99,1999,2,18,2.3,65.12864
2/19/99,1999,2,19,0.4,11.32672
2/20/99,1999,2,20,0.35,9.91088
2/21/99,1999,2,21,0.33,9.344544
2/22/99,1999,2,22,0.31,8.778208
2/23/99,1999,2,23,0.29,8.211872
2/24/99,1999,2,24,0.28,7.928704
2/25/99,1999,2,25,0.28,7.928704
2/26/99,1999,2,26,0.28,7.928704
2/27/99,1999,2,27,0.28,7.928704
2/28/99,1999,2,28,0.45,12.74256
3/1/99,1999,3,1,0.35,9.91088
3/2/99,1999,3,2,0.25,7.0792
3/3/99,1999,3,3,0.49,13.875232
3/4/99,1999,3,4,0.76,21.520768
3/5/99,1999,3,5,0.24,6.796032
3/6/99,1999,3,6,0.3,8.49504
3/7/99,1999,3,7,0.3,8.49504
3/8/99,1999,3,8,0.28,7.928704
3/9/99,1999,3,9,0.25,7.0792
3/10/99,1999,3,10,0.25,7.0792
3/11/99,1999,3,11,0.25,7.0792
3/12/99,1999,3,12,0.25,7.0792
3/13/99,1999,3,13,0.25,7.0792
3/14/99,1999,3,14,0.25,7.0792
3/15/99,1999,3,15,0.36,10.194048
3/16/99,1999,3,16,0.41,11.609888
3/17/99,1999,3,17,0.46,13.025728
3/18/99,1999,3,18,0.42,11.893056
3/19/99,1999,3,19,0.3,8.49504
3/20/99,1999,3,20,0.22,6.229696
3/21/99,1999,3,21,0.27,7.645536
3/22/99,1999,3,22,0.35,9.91088
3/23/99,1999,3,23,0.27,7.645536
3/24/99,1999,3,24,0.23,6.512864
3/25/99,1999,3,25,0.24,6.796032
3/26/99,1999,3,26,0.22,6.229696
3/27/99,1999,3,27,0.17,4.813856
3/28/99,1999,3,28,0.17,4.813856
3/29/99,1999,3,29,0.17,4.813856
3/30/99,1999,3,30,0.17,4.813856
3/31/99,1999,3,31,0.16,4.530688
4/1/99,1999,4,1,0.39,11.043552
4/2/99,1999,4,2,0.31,8.778208
4/3/99,1999,4,3,0.15,4.24752
4/4/99,1999,4,4,0.23,6.512864
4/5/99,1999,4,5,0.37,10.477216
4/6/99,1999,4,6,0.18,5.097024
4/7/99,1999,4,7,0.14,3.964352
4/8/99,1999,4,8,0.12,3.398016
4/9/99,1999,4,9,0.19,5.380192
4/10/99,1999,4,10,0.25,7.0792
4/11/99,1999,4,11,0.36,10.194048
4/12/99,1999,4,12,0.31,8.778208
4/13/99,1999,4,13,0.18,5.097024
4/14/99,1999,4,14,0.18,5.097024
4/15/99,1999,4,15,0.2,5.66336
4/16/99,1999,4,16,0.21,5.946528
4/17/99,1999,4,17,0.19,5.380192
4/18/99,1999,4,18,0.22,6.229696
4/19/99,1999,4,19,0.23,6.512864
4/20/99,1999,4,20,0.16,4.530688
4/21/99,1999,4,21,0.14,3.964352
4/22/99,1999,4,22,0.15,4.24752
4/23/99,1999,4,23,0.14,3.964352
4/24/99,1999,4,24,0.14,3.964352
4/25/99,1999,4,25,0.14,3.964352
4/26/99,1999,4,26,0.12,3.398016
4/27/99,1999,4,27,0.11,3.114848
4/28/99,1999,4,28,0.1,2.83168
4/29/99,1999,4,29,0.09,2.548512
4/30/99,1999,4,30,0.08,2.265344
5/1/99,1999,5,1,0.08,2.265344
5/2/99,1999,5,2,0.08,2.265344
5/3/99,1999,5,3,0.08,2.265344
5/4/99,1999,5,4,0.07,1.982176
5/5/99,1999,5,5,0.05,1.41584
5/6/99,1999,5,6,0.05,1.41584
5/7/99,1999,5,7,0.05,1.41584
5/8/99,1999,5,8,0.08,2.265344
5/9/99,1999,5,9,0.08,2.265344
5/10/99,1999,5,10,0.06,1.699008
5/11/99,1999,5,11,0.04,1.132672
5/12/99,1999,5,12,0.05,1.41584
5/13/99,1999,5,13,0.05,1.41584
5/14/99,1999,5,14,0.05,1.41584
5/15/99,1999,5,15,0.05,1.41584
5/16/99,1999,5,16,0.05,1.41584
5/17/99,1999,5,17,0.07,1.982176
5/18/99,1999,5,18,0.07,1.982176
5/19/99,1999,5,19,0.08,2.265344
5/20/99,1999,5,20,0.01,0.283168
5/21/99,1999,5,21,0,0
5/22/99,1999,5,22,0.02,0.566336
5/23/99,1999,5,23,0.15,4.24752
5/24/99,1999,5,24,0.31,8.778208
5/25/99,1999,5,25,0.2,5.66336
5/26/99,1999,5,26,0.14,3.964352
5/27/99,1999,5,27,0.1,2.83168
5/28/99,1999,5,28,0.05,1.41584
5/29/99,1999,5,29,0.05,1.41584
5/30/99,1999,5,30,0.05,1.41584
5/31/99,1999,5,31,0.05,1.41584
6/1/99,1999,6,1,0.05,1.41584
6/2/99,1999,6,2,0.09,2.548512
6/3/99,1999,6,3,0.05,1.41584
6/4/99,1999,6,4,0.04,1.132672
6/5/99,1999,6,5,0.04,1.132672
6/6/99,1999,6,6,0.04,1.132672
6/7/99,1999,6,7,0.03,0.849504
6/8/99,1999,6,8,0.03,0.849504
6/9/99,1999,6,9,0.03,0.849504
6/10/99,1999,6,10,0.03,0.849504
6/11/99,1999,6,11,0.04,1.132672
6/12/99,1999,6,12,0.03,0.849504
6/13/99,1999,6,13,0.17,4.813856
6/14/99,1999,6,14,0.09,2.548512
6/15/99,1999,6,15,0.05,1.41584
6/16/99,1999,6,16,0.04,1.132672
6/17/99,1999,6,17,0.04,1.132672
6/18/99,1999,6,18,0.04,1.132672
6/19/99,1999,6,19,0.04,1.132672
6/20/99,1999,6,20,0.05,1.41584
6/21/99,1999,6,21,0.06,1.699008
6/22/99,1999,6,22,0.04,1.132672
6/23/99,1999,6,23,0.03,0.849504
6/24/99,1999,6,24,0.03,0.849504
6/25/99,1999,6,25,0.03,0.849504
6/26/99,1999,6,26,0.03,0.849504
6/27/99,1999,6,27,0.03,0.849504
6/28/99,1999,6,28,0.01,0.283168
6/29/99,1999,6,29,0.01,0.283168
6/30/99,1999,6,30,0.01,0.283168
7/1/99,1999,7,1,0.04,1.132672
7/2/99,1999,7,2,0.01,0.283168
7/3/99,1999,7,3,0,0
7/4/99,1999,7,4,0,0
7/5/99,1999,7,5,0,0
7/6/99,1999,7,6,0,0
7/7/99,1999,7,7,0,0
7/8/99,1999,7,8,0,0
7/9/99,1999,7,9,0,0
7/10/99,1999,7,10,0,0
7/11/99,1999,7,11,0,0
7/12/99,1999,7,12,0,0
7/13/99,1999,7,13,0,0
7/14/99,1999,7,14,0,0
7/15/99,1999,7,15,0,0
7/16/99,1999,7,16,0,0
7/17/99,1999,7,17,0,0
7/18/99,1999,7,18,0,0
7/19/99,1999,7,19,0,0
7/20/99,1999,7,20,0,0
7/21/99,1999,7,21,0.03,0.849504
7/22/99,1999,7,22,7.03,199.067104
7/23/99,1999,7,23,0.01,0.283168
7/24/99,1999,7,24,0,0
7/25/99,1999,7,25,0,0
7/26/99,1999,7,26,0,0
7/27/99,1999,7,27,0,0
7/28/99,1999,7,28,0.07,1.982176
7/29/99,1999,7,29,0.02,0.566336
7/30/99,1999,7,30,0,0
7/31/99,1999,7,31,0,0
8/1/99,1999,8,1,0,0
8/2/99,1999,8,2,0,0
8/3/99,1999,8,3,0,0
8/4/99,1999,8,4,0,0
8/5/99,1999,8,5,0,0
8/6/99,1999,8,6,0,0
8/7/99,1999,8,7,0,0
8/8/99,1999,8,8,0,0
8/9/99,1999,8,9,0,0
8/10/99,1999,8,10,0,0
8/11/99,1999,8,11,0,0
8/12/99,1999,8,12,0,0
8/13/99,1999,8,13,0,0
8/14/99,1999,8,14,0.01,0.283168
8/15/99,1999,8,15,0.01,0.283168
8/16/99,1999,8,16,0.01,0.283168
8/17/99,1999,8,17,0.01,0.283168
8/18/99,1999,8,18,0,0
8/19/99,1999,8,19,0.01,0.283168
8/20/99,1999,8,20,0.01,0.283168
8/21/99,1999,8,21,0.01,0.283168
8/22/99,1999,8,22,0.01,0.283168
8/23/99,1999,8,23,0.01,0.283168
8/24/99,1999,8,24,0.04,1.132672
8/25/99,1999,8,25,0.17,4.813856
8/26/99,1999,8,26,12.7,359.62336
8/27/99,1999,8,27,0.55,15.57424
8/28/99,1999,8,28,0.07,1.982176
8/29/99,1999,8,29,0.04,1.132672
8/30/99,1999,8,30,0.03,0.849504
8/31/99,1999,8,31,0.03,0.849504
9/1/99,1999,9,1,0.03,0.849504
9/2/99,1999,9,2,0.02,0.566336
9/3/99,1999,9,3,0.02,0.566336
9/4/99,1999,9,4,0.47,13.308896
9/5/99,1999,9,5,1.49,42.192032
9/6/99,1999,9,6,0.42,11.893056
9/7/99,1999,9,7,0.7,19.82176
9/8/99,1999,9,8,0.11,3.114848
9/9/99,1999,9,9,0.14,3.964352
9/10/99,1999,9,10,0.06,1.699008
9/11/99,1999,9,11,0.05,1.41584
9/12/99,1999,9,12,0.05,1.41584
9/13/99,1999,9,13,0.05,1.41584
9/14/99,1999,9,14,0.04,1.132672
9/15/99,1999,9,15,0.92,26.051456
9/16/99,1999,9,16,20.4,577.66272
9/17/99,1999,9,17,0.47,13.308896
9/18/99,1999,9,18,0.17,4.813856
9/19/99,1999,9,19,0.15,4.24752
9/20/99,1999,9,20,0.45,12.74256
9/21/99,1999,9,21,2.33,65.978144
9/22/99,1999,9,22,0.86,24.352448
9/23/99,1999,9,23,0.34,9.627712
9/24/99,1999,9,24,0.2,5.66336
9/25/99,1999,9,25,0.16,4.530688
9/26/99,1999,9,26,0.12,3.398016
9/27/99,1999,9,27,0.21,5.946528
9/28/99,1999,9,28,0.2,5.66336
9/29/99,1999,9,29,0.27,7.645536
9/30/99,1999,9,30,1.98,56.067264
10/1/99,1999,10,1,0.18,5.097024
10/2/99,1999,10,2,0.22,6.229696
10/3/99,1999,10,3,0.14,3.964352
10/4/99,1999,10,4,1.48,41.908864
10/5/99,1999,10,5,0.54,15.291072
10/6/99,1999,10,6,0.19,5.380192
10/7/99,1999,10,7,0.16,4.530688
10/8/99,1999,10,8,0.15,4.24752
10/9/99,1999,10,9,0.15,4.24752
10/10/99,1999,10,10,3.5,99.1088
10/11/99,1999,10,11,0.22,6.229696
10/12/99,1999,10,12,0.1,2.83168
10/13/99,1999,10,13,0.09,2.548512
10/14/99,1999,10,14,0.08,2.265344
10/15/99,1999,10,15,0.08,2.265344
10/16/99,1999,10,16,0.08,2.265344
10/17/99,1999,10,17,0.09,2.548512
10/18/99,1999,10,18,0.1,2.83168
10/19/99,1999,10,19,0.09,2.548512
10/20/99,1999,10,20,0.11,3.114848
10/21/99,1999,10,21,0.1,2.83168
10/22/99,1999,10,22,0.1,2.83168
10/23/99,1999,10,23,0.09,2.548512
10/24/99,1999,10,24,0.09,2.548512
10/25/99,1999,10,25,0.09,2.548512
10/26/99,1999,10,26,0.08,2.265344
10/27/99,1999,10,27,0.07,1.982176
10/28/99,1999,10,28,0.07,1.982176
10/29/99,1999,10,29,0.07,1.982176
10/30/99,1999,10,30,0.08,2.265344
10/31/99,1999,10,31,0.08,2.265344
11/1/99,1999,11,1,0.08,2.265344
11/2/99,1999,11,2,0.4,11.32672
11/3/99,1999,11,3,0.05,1.41584
11/4/99,1999,11,4,0.04,1.132672
11/5/99,1999,11,5,0.04,1.132672
11/6/99,1999,11,6,0.04,1.132672
11/7/99,1999,11,7,0.04,1.132672
11/8/99,1999,11,8,0.04,1.132672
11/9/99,1999,11,9,0.04,1.132672
11/10/99,1999,11,10,0.04,1.132672
11/11/99,1999,11,11,0.04,1.132672
11/12/99,1999,11,12,0.04,1.132672
11/13/99,1999,11,13,0.04,1.132672
11/14/99,1999,11,14,0.04,1.132672
11/15/99,1999,11,15,0.04,1.132672
11/16/99,1999,11,16,0.04,1.132672
11/17/99,1999,11,17,0.04,1.132672
11/18/99,1999,11,18,0.05,1.41584
11/19/99,1999,11,19,0.05,1.41584
11/20/99,1999,11,20,0.05,1.41584
11/21/99,1999,11,21,0.05,1.41584
11/22/99,1999,11,22,0.04,1.132672
11/23/99,1999,11,23,0.04,1.132672
11/24/99,1999,11,24,0.04,1.132672
11/25/99,1999,11,25,0.04,1.132672
11/26/99,1999,11,26,3.43,97.126624
11/27/99,1999,11,27,1.39,39.360352
11/28/99,1999,11,28,0.26,7.362368
11/29/99,1999,11,29,0.19,5.380192
11/30/99,1999,11,30,0.18,5.097024
12/1/99,1999,12,1,0.15,4.24752
12/2/99,1999,12,2,0.14,3.964352
12/3/99,1999,12,3,0.14,3.964352
12/4/99,1999,12,4,0.1,2.83168
12/5/99,1999,12,5,0.1,2.83168
12/6/99,1999,12,6,0.94,26.617792
12/7/99,1999,12,7,0.25,7.0792
12/8/99,1999,12,8,0.2,5.66336
12/9/99,1999,12,9,0.19,5.380192
12/10/99,1999,12,10,1.77,50.120736
12/11/99,1999,12,11,0.31,8.778208
12/12/99,1999,12,12,0.23,6.512864
12/13/99,1999,12,13,1.03,29.166304
12/14/99,1999,12,14,7.52,212.942336
12/15/99,1999,12,15,0.7,19.82176
12/16/99,1999,12,16,0.37,10.477216
12/17/99,1999,12,17,0.3,8.49504
12/18/99,1999,12,18,0.26,7.362368
12/19/99,1999,12,19,0.25,7.0792
12/20/99,1999,12,20,0.54,15.291072
12/21/99,1999,12,21,0.32,9.061376
12/22/99,1999,12,22,0.24,6.796032
12/23/99,1999,12,23,0.22,6.229696
12/24/99,1999,12,24,0.2,5.66336
12/25/99,1999,12,25,0.17,4.813856
12/26/99,1999,12,26,0.17,4.813856
12/27/99,1999,12,27,0.16,4.530688
12/28/99,1999,12,28,0.14,3.964352
12/29/99,1999,12,29,0.14,3.964352
12/30/99,1999,12,30,0.14,3.964352
12/31/99,1999,12,31,0.14,3.964352
1/1/00,2000,1,1,0.14,3.964352
1/2/00,2000,1,2,0.14,3.964352
1/3/00,2000,1,3,0.14,3.964352
1/4/00,2000,1,4,0.48,13.592064
1/5/00,2000,1,5,0.24,6.796032
1/6/00,2000,1,6,0.17,4.813856
1/7/00,2000,1,7,0.15,4.24752
1/8/00,2000,1,8,0.14,3.964352
1/9/00,2000,1,9,0.14,3.964352
1/10/00,2000,1,10,1.19,33.696992
1/11/00,2000,1,11,0.32,9.061376
1/12/00,2000,1,12,0.23,6.512864
1/13/00,2000,1,13,0.22,6.229696
1/14/00,2000,1,14,0.16,4.530688
1/15/00,2000,1,15,0.14,3.964352
1/16/00,2000,1,16,0.12,3.398016
1/17/00,2000,1,17,0.11,3.114848
1/18/00,2000,1,18,0.11,3.114848
1/19/00,2000,1,19,0.12,3.398016
1/20/00,2000,1,20,0.1,2.83168
1/21/00,2000,1,21,0.11,3.114848
1/22/00,2000,1,22,0.1,2.83168
1/23/00,2000,1,23,0.1,2.83168
1/24/00,2000,1,24,0.1,2.83168
1/25/00,2000,1,25,0.1,2.83168
1/26/00,2000,1,26,0.1,2.83168
1/27/00,2000,1,27,0.09,2.548512
1/28/00,2000,1,28,0.09,2.548512
1/29/00,2000,1,29,0.08,2.265344
1/30/00,2000,1,30,0.09,2.548512
1/31/00,2000,1,31,0.09,2.548512
2/1/00,2000,2,1,0.09,2.548512
2/2/00,2000,2,2,0.09,2.548512
2/3/00,2000,2,3,0.09,2.548512
2/4/00,2000,2,4,0.09,2.548512
2/5/00,2000,2,5,0.08,2.265344
2/6/00,2000,2,6,0.09,2.548512
2/7/00,2000,2,7,0.09,2.548512
2/8/00,2000,2,8,0.1,2.83168
2/9/00,2000,2,9,0.12,3.398016
2/10/00,2000,2,10,0.28,7.928704
2/11/00,2000,2,11,0.73,20.671264
2/12/00,2000,2,12,0.48,13.592064
2/13/00,2000,2,13,0.27,7.645536
2/14/00,2000,2,14,1.37,38.794016
2/15/00,2000,2,15,0.54,15.291072
2/16/00,2000,2,16,0.56,15.857408
2/17/00,2000,2,17,0.35,9.91088
2/18/00,2000,2,18,1.21,34.263328
2/19/00,2000,2,19,4.29,121.479072
2/20/00,2000,2,20,0.57,16.140576
2/21/00,2000,2,21,0.38,10.760384
2/22/00,2000,2,22,0.33,9.344544
2/23/00,2000,2,23,0.3,8.49504
2/24/00,2000,2,24,0.28,7.928704
2/25/00,2000,2,25,0.3,8.49504
2/26/00,2000,2,26,0.26,7.362368
2/27/00,2000,2,27,0.9,25.48512
2/28/00,2000,2,28,2.02,57.199936
2/29/00,2000,2,29,0.34,9.627712
3/1/00,2000,3,1,0.29,8.211872
3/2/00,2000,3,2,0.25,7.0792
3/3/00,2000,3,3,0.22,6.229696
3/4/00,2000,3,4,0.2,5.66336
3/5/00,2000,3,5,0.19,5.380192
3/6/00,2000,3,6,0.18,5.097024
3/7/00,2000,3,7,0.16,4.530688
3/8/00,2000,3,8,0.16,4.530688
3/9/00,2000,3,9,0.15,4.24752
3/10/00,2000,3,10,0.15,4.24752
3/11/00,2000,3,11,1.1,31.14848
3/12/00,2000,3,12,0.55,15.57424
3/13/00,2000,3,13,0.23,6.512864
3/14/00,2000,3,14,0.21,5.946528
3/15/00,2000,3,15,0.18,5.097024
3/16/00,2000,3,16,0.31,8.778208
3/17/00,2000,3,17,0.46,13.025728
3/18/00,2000,3,18,0.21,5.946528
3/19/00,2000,3,19,0.19,5.380192
3/20/00,2000,3,20,0.19,5.380192
3/21/00,2000,3,21,9.67,273.823456
3/22/00,2000,3,22,2.18,61.730624
3/23/00,2000,3,23,0.51,14.441568
3/24/00,2000,3,24,0.37,10.477216
3/25/00,2000,3,25,0.43,12.176224
3/26/00,2000,3,26,0.33,9.344544
3/27/00,2000,3,27,1.4,39.64352
3/28/00,2000,3,28,1.19,33.696992
3/29/00,2000,3,29,0.36,10.194048
3/30/00,2000,3,30,0.3,8.49504
3/31/00,2000,3,31,0.26,7.362368
4/1/00,2000,4,1,0.24,6.796032
4/2/00,2000,4,2,0.22,6.229696
4/3/00,2000,4,3,0.26,7.362368
4/4/00,2000,4,4,0.64,18.122752
4/5/00,2000,4,5,0.24,6.796032
4/6/00,2000,4,6,0.21,5.946528
4/7/00,2000,4,7,0.19,5.380192
4/8/00,2000,4,8,1.31,37.095008
4/9/00,2000,4,9,0.98,27.750464
4/10/00,2000,4,10,0.3,8.49504
4/11/00,2000,4,11,0.25,7.0792
4/12/00,2000,4,12,0.24,6.796032
4/13/00,2000,4,13,0.22,6.229696
4/14/00,2000,4,14,0.2,5.66336
4/15/00,2000,4,15,0.19,5.380192
4/16/00,2000,4,16,0.25,7.0792
4/17/00,2000,4,17,1.77,50.120736
4/18/00,2000,4,18,3.14,88.914752
4/19/00,2000,4,19,0.52,14.724736
4/20/00,2000,4,20,0.35,9.91088
4/21/00,2000,4,21,0.8,22.65344
4/22/00,2000,4,22,0.54,15.291072
4/23/00,2000,4,23,0.35,9.91088
4/24/00,2000,4,24,0.28,7.928704
4/25/00,2000,4,25,0.25,7.0792
4/26/00,2000,4,26,0.23,6.512864
4/27/00,2000,4,27,0.22,6.229696
4/28/00,2000,4,28,0.22,6.229696
4/29/00,2000,4,29,0.2,5.66336
4/30/00,2000,4,30,0.18,5.097024
5/1/00,2000,5,1,0.17,4.813856
5/2/00,2000,5,2,0.14,3.964352
5/3/00,2000,5,3,0.11,3.114848
5/4/00,2000,5,4,0.1,2.83168
5/5/00,2000,5,5,0.12,3.398016
5/6/00,2000,5,6,0.15,4.24752
5/7/00,2000,5,7,0.12,3.398016
5/8/00,2000,5,8,0.12,3.398016
5/9/00,2000,5,9,0.11,3.114848
5/10/00,2000,5,10,0.37,10.477216
5/11/00,2000,5,11,0.13,3.681184
5/12/00,2000,5,12,0.1,2.83168
5/13/00,2000,5,13,0.17,4.813856
5/14/00,2000,5,14,0.11,3.114848
5/15/00,2000,5,15,0.08,2.265344
5/16/00,2000,5,16,0.08,2.265344
5/17/00,2000,5,17,0.09,2.548512
5/18/00,2000,5,18,0.08,2.265344
5/19/00,2000,5,19,0.15,4.24752
5/20/00,2000,5,20,0.11,3.114848
5/21/00,2000,5,21,0.11,3.114848
5/22/00,2000,5,22,0.5,14.1584
5/23/00,2000,5,23,0.16,4.530688
5/24/00,2000,5,24,0.27,7.645536
5/25/00,2000,5,25,0.35,9.91088
5/26/00,2000,5,26,0.11,3.114848
5/27/00,2000,5,27,0.21,5.946528
5/28/00,2000,5,28,0.46,13.025728
5/29/00,2000,5,29,0.2,5.66336
5/30/00,2000,5,30,0.13,3.681184
5/31/00,2000,5,31,0.11,3.114848
6/1/00,2000,6,1,0.1,2.83168
6/2/00,2000,6,2,0.08,2.265344
6/3/00,2000,6,3,0.08,2.265344
6/4/00,2000,6,4,0.07,1.982176
6/5/00,2000,6,5,0.08,2.265344
6/6/00,2000,6,6,0.29,8.211872
6/7/00,2000,6,7,0.09,2.548512
6/8/00,2000,6,8,0.07,1.982176
6/9/00,2000,6,9,0.06,1.699008
6/10/00,2000,6,10,0.05,1.41584
6/11/00,2000,6,11,0.05,1.41584
6/12/00,2000,6,12,0.09,2.548512
6/13/00,2000,6,13,0.06,1.699008
6/14/00,2000,6,14,0.05,1.41584
6/15/00,2000,6,15,0.77,21.803936
6/16/00,2000,6,16,0.17,4.813856
6/17/00,2000,6,17,0.06,1.699008
6/18/00,2000,6,18,0.05,1.41584
6/19/00,2000,6,19,0.05,1.41584
6/20/00,2000,6,20,0.05,1.41584
6/21/00,2000,6,21,0.77,21.803936
6/22/00,2000,6,22,0.47,13.308896
6/23/00,2000,6,23,0.07,1.982176
6/24/00,2000,6,24,0.04,1.132672
6/25/00,2000,6,25,0.18,5.097024
6/26/00,2000,6,26,0.19,5.380192
6/27/00,2000,6,27,0.05,1.41584
6/28/00,2000,6,28,0.05,1.41584
6/29/00,2000,6,29,0.05,1.41584
6/30/00,2000,6,30,0.04,1.132672
7/1/00,2000,7,1,0.03,0.849504
7/2/00,2000,7,2,0.03,0.849504
7/3/00,2000,7,3,0.02,0.566336
7/4/00,2000,7,4,0.02,0.566336
7/5/00,2000,7,5,0.03,0.849504
